NTT,121564
ソフトバンクグループ,62215
KDDI,54467
NTTドコモ,47138
フジ・メディア・HD,5250
日本テレビHD,4063
TBSHD,3582
テレビ朝日HD,2982
テレビ東京HD,1480
1スカパーJSATHD,1196
